station_uid,city_name,latitude,longitude,record_date,time_utc,aqi_overall,pm25,pm10,o3,no2,so2,co,temp,humidity,pressure,wind
1831,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",19.200226,99.893048,2025-12-07,2025-12-07 14:00:00,79,79.0,77.0,13.1,6.4,,0.1,29.0,62.4,968.9,0.5
9450,"Chiangrai - Gaia Station 01, Thailand",19.687157,100.19024,2025-12-07,2025-12-07 14:00:00,75,75.0,23.8,,,,,29.0,62.0,1016.0,2.0
8325,"Health Promotion Hospital Ta See, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าสี ลำปาง)",18.4267833,99.7576333,2025-12-07,2025-12-07 13:00:00,73,73.0,12.0,0.8,1.2,0.6,0.1,30.8,62.5,986.1,0.5
5776,Mueang Chiang Rai,19.9104798,99.840576,2025-12-07,2025-12-07 14:00:00,82,82.0,34.0,12.7,0.6,,0.1,27.2,77.6,979.7,0.1
8324,"Health Promotion Hospital Sob Pad, Lampang, Thailand (โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ลำปาง)",18.2508166,99.76395,2025-12-07,2025-12-07 13:00:00,73,73.0,11.0,17.4,7.5,5.3,0.1,30.8,62.5,986.1,0.5
1867,"Municipality Office, Nan, Thailand (สำนักงานเทศบาลเมืองน่าน)",18.7888833,100.7763166,2025-12-07,2025-12-07 14:00:00,59,59.0,67.0,6.4,1.8,0.6,0.1,30.8,9.0,987.4,1.5
8503,"Huai Kon, Chaloem Phra Kiat, Nan, Thailand (ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ จ.น่าน)",19.5759666,101.0815166,2025-12-07,2025-12-07 13:00:00,56,56.0,70.0,3.2,0.6,1.6,0.1,29.0,10.9,977.4,1.0
1828,"Natural Resources and Environment Office, Chiangrai, Thailand (สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย)",19.909217,99.823467,2025-12-07,2025-12-07 14:00:00,82,82.0,34.0,12.7,0.6,,0.1,27.2,77.6,979.7,0.1
1832,"Maesai Health Office, Chiangrai, Thailand (สำนักงานสาธารณสุขอำเภอแม่สาย เชียงราย)",20.439944444444,99.913666666667,2025-12-07,2025-12-07 14:00:00,95,95.0,149.0,,,,,29.2,9.7,969.0,1.0
9587,"Chiangrai - Gaia Station 07, Thailand",19.858547,99.90148,2025-12-07,2025-12-07 14:00:00,72,72.0,22.5,,,,,29.0,62.0,1016.0,2.0
1827,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",7.884488,98.391283,2025-12-07,2025-12-07 14:00:00,38,38.0,19.0,,1.8,0.6,,32.5,8.3,1009.0,1.0
1826,"Regional Environmental Office 14, Surat Thani, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 14)",9.126017,99.325145,2025-12-07,2025-12-07 14:00:00,40,40.0,48.0,4.4,,0.6,0.1,30.7,46.6,1012.4,2.0
3688,"Khonkaen, Thailand (ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค 4 ขอนแก่น)",16.44538333,102.83525,2025-12-07,2025-12-07 09:00:00,76,76.0,,,,,,24.0,64.0,1018.0,2.5
13631,"Meteorological stations, Sakon Nakhon, Thailand (สถานีอุตุนิยมวิทยาสกลนคร)",17.15662,104.133216,2025-12-07,2025-12-07 14:00:00,41,41.0,19.0,,,,,29.2,10.2,993.5,1.0
13630,"Meteorological stations, Nakhon Phanom, Thailand (สถานีอุตุนิยมวิทยานครพนม)",17.412345,104.7786123,2025-12-07,2025-12-07 14:00:00,57,57.0,25.0,15.4,18.5,15.9,0.1,29.4,10.3,997.1,1.5
